sim_pos: tensor(440.8347, device='cuda:0', grad_fn=<DivBackward0>)
sim_pos: tensor(371.3367, device='cuda:0', grad_fn=<DivBackward0>)
sim_pos: tensor(403.6461, device='cuda:0', grad_fn=<DivBackward0>)
sim_pos: tensor(382.2043, device='cuda:0', grad_fn=<DivBackward0>)
sim_pos: tensor(406.3181, device='cuda:0', grad_fn=<DivBackward0>)
sim_pos: tensor(406.0362, device='cuda:0', grad_fn=<DivBackward0>)
sim_pos: tensor(378.8561, device='cuda:0', grad_fn=<DivBackward0>)
sim_pos: tensor(393.5129, device='cuda:0', grad_fn=<DivBackward0>)
sim_pos: tensor(392.0215, device='cuda:0', grad_fn=<DivBackward0>)
sim_pos: tensor(390.8172, device='cuda:0', grad_fn=<DivBackward0>)
sim_pos: tensor(369.2054, device='cuda:0', grad_fn=<DivBackward0>)
sim_pos: tensor(402.9682, device='cuda:0', grad_fn=<DivBackward0>)
sim_pos: tensor(389.4762, device='cuda:0', grad_fn=<DivBackward0>)
sim_pos: tensor(349.5038, device='cuda:0', grad_fn=<DivBackward0>)
sim_pos: tensor(407.7483, device='cuda:0', grad_fn=<DivBackward0>)
sim_pos: tensor(403.5869, device='cuda:0', grad_fn=<DivBackward0>)
sim_pos: tensor(381.0746, device='cuda:0', grad_fn=<DivBackward0>)
sim_pos: tensor(381.8248, device='cuda:0', grad_fn=<DivBackward0>)
sim_pos: tensor(376.7949, device='cuda:0', grad_fn=<DivBackward0>)
sim_pos: tensor(402.8758, device='cuda:0', grad_fn=<DivBackward0>)
sim_pos: tensor(425.9517, device='cuda:0', grad_fn=<DivBackward0>)
sim_pos: tensor(424.7136, device='cuda:0', grad_fn=<DivBackward0>)
sim_pos: tensor(439.3109, device='cuda:0', grad_fn=<DivBackward0>)
sim_pos: tensor(403.6913, device='cuda:0', grad_fn=<DivBackward0>)
sim_pos: tensor(397.1250, device='cuda:0', grad_fn=<DivBackward0>)
sim_pos: tensor(428.9910, device='cuda:0', grad_fn=<DivBackward0>)
sim_pos: tensor(410.6237, device='cuda:0', grad_fn=<DivBackward0>)
sim_pos: tensor(417.2011, device='cuda:0', grad_fn=<DivBackward0>)
sim_pos: tensor(400.3132, device='cuda:0', grad_fn=<DivBackward0>)
sim_pos: tensor(386.4725, device='cuda:0', grad_fn=<DivBackward0>)
sim_pos: tensor(427.3395, device='cuda:0', grad_fn=<DivBackward0>)
sim_pos: tensor(440.0737, device='cuda:0', grad_fn=<DivBackward0>)
sim_pos: tensor(439.1279, device='cuda:0', grad_fn=<DivBackward0>)
sim_pos: tensor(387.9421, device='cuda:0', grad_fn=<DivBackward0>)
sim_pos: tensor(472.2915, device='cuda:0', grad_fn=<DivBackward0>)
sim_pos: tensor(461.5150, device='cuda:0', grad_fn=<DivBackward0>)
sim_pos: tensor(437.9904, device='cuda:0', grad_fn=<DivBackward0>)
sim_pos: tensor(409.2982, device='cuda:0', grad_fn=<DivBackward0>)
sim_pos: tensor(406.0446, device='cuda:0', grad_fn=<DivBackward0>)
sim_pos: tensor(404.8057, device='cuda:0', grad_fn=<DivBackward0>)
sim_pos: tensor(394.7697, device='cuda:0', grad_fn=<DivBackward0>)
sim_pos: tensor(421.0768, device='cuda:0', grad_fn=<DivBackward0>)
sim_pos: tensor(394.7018, device='cuda:0', grad_fn=<DivBackward0>)
sim_pos: tensor(413.1759, device='cuda:0', grad_fn=<DivBackward0>)
sim_pos: tensor(447.5147, device='cuda:0', grad_fn=<DivBackward0>)
sim_pos: tensor(400.2979, device='cuda:0', grad_fn=<DivBackward0>)
sim_pos: tensor(407.4751, device='cuda:0', grad_fn=<DivBackward0>)
sim_pos: tensor(409.1929, device='cuda:0', grad_fn=<DivBackward0>)
sim_pos: tensor(420.2021, device='cuda:0', grad_fn=<DivBackward0>)
sim_pos: tensor(430.1477, device='cuda:0', grad_fn=<DivBackward0>)
norm: tensor(0., device='cuda:0', grad_fn=<AbsBackward0>)
norm: tensor(36.1025, device='cuda:0', grad_fn=<AbsBackward0>)
norm: tensor(33.0542, device='cuda:0', grad_fn=<AbsBackward0>)
norm: tensor(47.5527, device='cuda:0', grad_fn=<AbsBackward0>)
norm: tensor(53.0622, device='cuda:0', grad_fn=<AbsBackward0>)
norm: tensor(48.4553, device='cuda:0', grad_fn=<AbsBackward0>)
norm: tensor(51.9304, device='cuda:0', grad_fn=<AbsBackward0>)
norm: tensor(27.7200, device='cuda:0', grad_fn=<AbsBackward0>)
norm: tensor(25.5314, device='cuda:0', grad_fn=<AbsBackward0>)
norm: tensor(36.7067, device='cuda:0', grad_fn=<AbsBackward0>)
norm: tensor(36.1025, device='cuda:0', grad_fn=<AbsBackward0>)
norm: tensor(0., device='cuda:0', grad_fn=<AbsBackward0>)
norm: tensor(34.5779, device='cuda:0', grad_fn=<AbsBackward0>)
norm: tensor(35.6128, device='cuda:0', grad_fn=<AbsBackward0>)
norm: tensor(36.8403, device='cuda:0', grad_fn=<AbsBackward0>)
norm: tensor(32.8803, device='cuda:0', grad_fn=<AbsBackward0>)
norm: tensor(38.0734, device='cuda:0', grad_fn=<AbsBackward0>)
norm: tensor(37.4076, device='cuda:0', grad_fn=<AbsBackward0>)
norm: tensor(27.6966, device='cuda:0', grad_fn=<AbsBackward0>)
norm: tensor(28.0861, device='cuda:0', grad_fn=<AbsBackward0>)
norm: tensor(33.0542, device='cuda:0', grad_fn=<AbsBackward0>)
norm: tensor(34.5779, device='cuda:0', grad_fn=<AbsBackward0>)
norm: tensor(0., device='cuda:0', grad_fn=<AbsBackward0>)
norm: tensor(33.0165, device='cuda:0', grad_fn=<AbsBackward0>)
norm: tensor(33.9398, device='cuda:0', grad_fn=<AbsBackward0>)
norm: tensor(35.5618, device='cuda:0', grad_fn=<AbsBackward0>)
norm: tensor(33.3966, device='cuda:0', grad_fn=<AbsBackward0>)
norm: tensor(27.6016, device='cuda:0', grad_fn=<AbsBackward0>)
norm: tensor(30.6764, device='cuda:0', grad_fn=<AbsBackward0>)
norm: tensor(30.4125, device='cuda:0', grad_fn=<AbsBackward0>)
norm: tensor(47.5527, device='cuda:0', grad_fn=<AbsBackward0>)
norm: tensor(35.6128, device='cuda:0', grad_fn=<AbsBackward0>)
norm: tensor(33.0165, device='cuda:0', grad_fn=<AbsBackward0>)
norm: tensor(0., device='cuda:0', grad_fn=<AbsBackward0>)
norm: tensor(25.9539, device='cuda:0', grad_fn=<AbsBackward0>)
norm: tensor(20.8623, device='cuda:0', grad_fn=<AbsBackward0>)
norm: tensor(24.0915, device='cuda:0', grad_fn=<AbsBackward0>)
norm: tensor(42.3869, device='cuda:0', grad_fn=<AbsBackward0>)
norm: tensor(41.5024, device='cuda:0', grad_fn=<AbsBackward0>)
norm: tensor(39.2604, device='cuda:0', grad_fn=<AbsBackward0>)
norm: tensor(53.0622, device='cuda:0', grad_fn=<AbsBackward0>)
norm: tensor(36.8403, device='cuda:0', grad_fn=<AbsBackward0>)
norm: tensor(33.9398, device='cuda:0', grad_fn=<AbsBackward0>)
norm: tensor(25.9539, device='cuda:0', grad_fn=<AbsBackward0>)
norm: tensor(0., device='cuda:0', grad_fn=<AbsBackward0>)
norm: tensor(22.4611, device='cuda:0', grad_fn=<AbsBackward0>)
norm: tensor(18.7501, device='cuda:0', grad_fn=<AbsBackward0>)
norm: tensor(46.3242, device='cuda:0', grad_fn=<AbsBackward0>)
norm: tensor(43.1012, device='cuda:0', grad_fn=<AbsBackward0>)
norm: tensor(38.5150, device='cuda:0', grad_fn=<AbsBackward0>)
norm: tensor(48.4553, device='cuda:0', grad_fn=<AbsBackward0>)
norm: tensor(32.8803, device='cuda:0', grad_fn=<AbsBackward0>)
norm: tensor(35.5618, device='cuda:0', grad_fn=<AbsBackward0>)
norm: tensor(20.8623, device='cuda:0', grad_fn=<AbsBackward0>)
norm: tensor(22.4611, device='cuda:0', grad_fn=<AbsBackward0>)
norm: tensor(0., device='cuda:0', grad_fn=<AbsBackward0>)
norm: tensor(24.6826, device='cuda:0', grad_fn=<AbsBackward0>)
norm: tensor(45.9473, device='cuda:0', grad_fn=<AbsBackward0>)
norm: tensor(40.6354, device='cuda:0', grad_fn=<AbsBackward0>)
norm: tensor(39.4231, device='cuda:0', grad_fn=<AbsBackward0>)
norm: tensor(51.9304, device='cuda:0', grad_fn=<AbsBackward0>)
norm: tensor(38.0734, device='cuda:0', grad_fn=<AbsBackward0>)
norm: tensor(33.3966, device='cuda:0', grad_fn=<AbsBackward0>)
norm: tensor(24.0915, device='cuda:0', grad_fn=<AbsBackward0>)
norm: tensor(18.7501, device='cuda:0', grad_fn=<AbsBackward0>)
norm: tensor(24.6826, device='cuda:0', grad_fn=<AbsBackward0>)
norm: tensor(0., device='cuda:0', grad_fn=<AbsBackward0>)
norm: tensor(45.3092, device='cuda:0', grad_fn=<AbsBackward0>)
norm: tensor(44.4202, device='cuda:0', grad_fn=<AbsBackward0>)
norm: tensor(37.2555, device='cuda:0', grad_fn=<AbsBackward0>)
norm: tensor(27.7200, device='cuda:0', grad_fn=<AbsBackward0>)
norm: tensor(37.4076, device='cuda:0', grad_fn=<AbsBackward0>)
norm: tensor(27.6016, device='cuda:0', grad_fn=<AbsBackward0>)
norm: tensor(42.3869, device='cuda:0', grad_fn=<AbsBackward0>)
norm: tensor(46.3242, device='cuda:0', grad_fn=<AbsBackward0>)
norm: tensor(45.9473, device='cuda:0', grad_fn=<AbsBackward0>)
norm: tensor(45.3092, device='cuda:0', grad_fn=<AbsBackward0>)
norm: tensor(0., device='cuda:0', grad_fn=<AbsBackward0>)
norm: tensor(32.3089, device='cuda:0', grad_fn=<AbsBackward0>)
norm: tensor(34.3060, device='cuda:0', grad_fn=<AbsBackward0>)
norm: tensor(25.5314, device='cuda:0', grad_fn=<AbsBackward0>)
norm: tensor(27.6966, device='cuda:0', grad_fn=<AbsBackward0>)
norm: tensor(30.6764, device='cuda:0', grad_fn=<AbsBackward0>)
norm: tensor(41.5024, device='cuda:0', grad_fn=<AbsBackward0>)
norm: tensor(43.1012, device='cuda:0', grad_fn=<AbsBackward0>)
norm: tensor(40.6354, device='cuda:0', grad_fn=<AbsBackward0>)
norm: tensor(44.4202, device='cuda:0', grad_fn=<AbsBackward0>)
norm: tensor(32.3089, device='cuda:0', grad_fn=<AbsBackward0>)
norm: tensor(0., device='cuda:0', grad_fn=<AbsBackward0>)
norm: tensor(30.5496, device='cuda:0', grad_fn=<AbsBackward0>)
norm: tensor(36.7067, device='cuda:0', grad_fn=<AbsBackward0>)
norm: tensor(28.0861, device='cuda:0', grad_fn=<AbsBackward0>)
norm: tensor(30.4125, device='cuda:0', grad_fn=<AbsBackward0>)
norm: tensor(39.2604, device='cuda:0', grad_fn=<AbsBackward0>)
norm: tensor(38.5150, device='cuda:0', grad_fn=<AbsBackward0>)
norm: tensor(39.4231, device='cuda:0', grad_fn=<AbsBackward0>)
norm: tensor(37.2555, device='cuda:0', grad_fn=<AbsBackward0>)
norm: tensor(34.3060, device='cuda:0', grad_fn=<AbsBackward0>)
norm: tensor(30.5496, device='cuda:0', grad_fn=<AbsBackward0>)
